-,-,-
157, -201, 970
-,-,-
142, -241, 1062
122, -280, 1057
140, -302, 1027
131, -371, 1042
131, -371, 1042
76, -401, 1058
213, -339, 1056
327, -285, 972
395, -303, 965
439, -320, 1009
364, -341, 945
355, -345, 821
377, -346, 790
377, -346, 790
371, -398, 822
364, -384, 775
339, -380, 628
288, -381, 426
306, -332, 363
354, -268, 358
354, -268, 358
400, -217, 435
385, -197, 518
366, -177, 511
343, -133, 441
313, -90, 397
339, -12, 467
339, -12, 467
390, 64, 610
443, 134, 674
414, 154, 794
414, 176, 806
414, 176, 806
405, 205, 790
449, 259, 830
440, 255, 926
403, 233, 1035
403, 233, 1035
385, 201, 1083
344, 170, 1156
306, 164, 1049
315, 191, 1015
347, 216, 1110
302, 198, 1158
304, 204, 1146
304, 204, 1146
327, 231, 1163
318, 224, 1206
278, 156, 1306
283, 155, 1339
266, 110, 1366
190, 10, 1354
190, 10, 1354
171, -27, 1314
181, -47, 1297
130, -134, 1348
87, -215, 1349
106, -241, 1319
83, -275, 1268
83, -275, 1268
81, -322, 1267
99, -348, 1270
113, -365, 1227
141, -365, 1175
165, -371, 1067
202, -378, 926
276, -358, 859
364, -328, 884
364, -328, 884
349, -317, 798
321, -328, 709
308, -343, 677
327, -317, 669
351, -291, 694
374, -261, 667
374, -261, 667
389, -224, 621
398, -196, 582
430, -163, 588
422, -164, 570
420, -139, 549
407, -116, 471
396, -73, 421
396, -73, 421
421, -18, 507
487, 59, 607
534, 131, 630
537, 144, 675
537, 144, 675
534, 147, 735
542, 158, 754
577, 183, 787
613, 200, 833
613, 200, 833
625, 189, 795
542, 129, 694
412, 50, 670
396, 58, 786
396, 58, 786
469, 130, 854
454, 142, 884
380, 127, 899
394, 154, 1017
394, 154, 1017
423, 190, 1090
369, 184, 1007
321, 170, 941
338, 213, 938
356, 262, 923
356, 262, 923
362, 276, 1017
387, 284, 1111
409, 310, 1082
405, 308, 1076
386, 280, 1118
350, 231, 1159
350, 231, 1159
316, 173, 1176
291, 125, 1152
291, 96, 1169
298, 70, 1236
282, 34, 1273
282, 34, 1273
294, 15, 1332
321, -4, 1370
286, -68, 1375
263, -133, 1414
252, -193, 1458
217, -271, 1446
217, -271, 1446
184, -340, 1337
172, -397, 1241
138, -455, 1144
170, -469, 1037
226, -451, 883
254, -438, 804
290, -423, 831
254, -455, 745
254, -455, 745
197, -488, 675
189, -477, 625
246, -393, 610
338, -281, 575
382, -212, 565
379, -184, 554
359, -163, 477
359, -163, 477
330, -122, 371
361, -54, 351
429, 30, 417
482, 110, 472
481, 147, 492
481, 147, 492
450, 172, 515
461, 208, 587
496, 244, 643
456, 249, 622
456, 249, 622
434, 269, 663
438, 298, 719
421, 348, 692
357, 381, 730
357, 381, 730
359, 445, 930
455, 519, 1212
482, 548, 1213
427, 525, 1090
414, 491, 1107
414, 491, 1107
431, 477, 1188
435, 460, 1231
426, 431, 1176
420, 394, 1185
368, 325, 1196
305, 232, 1258
291, 139, 1407
291, 139, 1407
276, 50, 1572
244, -49, 1628
209, -132, 1678
185, -214, 1704
138, -310, 1691
104, -390, 1628
44, -482, 1504
44, -482, 1504
71, -489, 1358
127, -451, 1148
125, -456, 930
138, -450, 818
175, -441, 716
210, -449, 672
213, -447, 609
213, -447, 609
239, -410, 546
280, -362, 536
308, -322, 525
361, -271, 499
395, -215, 426
384, -187, 307
384, -187, 307
389, -152, 256
365, -121, 222
391, -58, 292
461, 19, 420
484, 83, 405
484, 83, 405
470, 117, 434
454, 135, 540
463, 168, 746
476, 203, 934
476, 203, 934
453, 224, 949
-,-,-
375, -177, 839
435, -136, 956
429, -95, 1050
374, -102, 1010
360, -72, 947
395, -36, 972
395, -36, 972
423, -51, 1258
470, -29, 1451
487, -13, 1396
479, -27, 1274
424, -81, 1194
409, -106, 1164
409, -106, 1164
381, -169, 1201
340, -213, 1193
309, -244, 1075
300, -290, 1088
305, -306, 1075
307, -300, 991
317, -315, 889
290, -346, 823
264, -365, 699
264, -365, 699
263, -384, 710
261, -389, 693
243, -393, 621
270, -350, 509
298, -317, 395
288, -307, 281
288, -307, 281
236, -300, 159
238, -240, 48
342, -137, 169
448, -43, 376
486, 32, 461
486, 32, 461
455, 100, 482
492, 183, 564
577, 258, 663
599, 297, 748
599, 297, 748
524, 271, 794
496, 264, 909
481, 259, 1043
475, 261, 1122
437, 243, 1099
437, 243, 1099
394, 254, 1096
332, 214, 1207
438, 321, 1162
415, 272, 1333
380, 197, 1582
288, 131, 1621
262, 89, 1537
262, 89, 1537
334, 110, 1641
329, 87, 1548
359, 100, 1481
430, 138, 1511
350, 48, 1426
350, 48, 1426
295, -31, 1359
300, -70, 1276
273, -108, 1194
257, -188, 1142
244, -243, 1067
212, -313, 942
212, -313, 870
236, -323, 870
267, -337, 826
296, -346, 810
278, -359, 703
279, -367, 511
278, -407, 501
271, -430, 515
271, -430, 515
299, -398, 526
406, -319, 562
465, -265, 585
482, -221, 507
510, -174, 420
509, -139, 259
509, -139, 259
503, -117, 225
579, -41, 346
643, 32, 532
660, 71, 493
603, 84, 468
603, 84, 468
650, 146, 578
681, 177, 654
695, 228, 612
695, 228, 612
675, 261, 549
601, 219, 596
520, 159, 705
545, 174, 862
545, 174, 862
573, 158, 966
544, 144, 895
528, 170, 783
520, 186, 892
477, 135, 1027
477, 135, 1027
460, 101, 1092
471, 108, 1078
487, 128, 1110
496, 132, 1137
