-,-,-
-336, -220, 864
-,-,-
-58, -364, 481
-152, -354, 315
-135, -409, 385
-168, -394, 356
-209, -346, 422
-232, -305, 402
-261, -267, 360
-239, -274, 386
-275, -253, 422
-275, -253, 422
-360, -369, 765
-359, -523, 1024
-356, -558, 1133
-448, -577, 1368
-492, -590, 1428
-499, -704, 1550
-559, -826, 1631
-635, -779, 1643
-692, -663, 1680
-655, -615, 1632
-616, -629, 1481
-651, -621, 1448
-700, -592, 1517
-730, -621, 1610
-759, -713, 1758
-721, -636, 1666
-632, -427, 1405
-547, -267, 1208
-427, -96, 936
-294, -19, 631
-234, 119, 371
-234, 119, 371
-150, 382, 89
-7, 555, -94
47, 505, -17
-33, 339, 167
-33, 339, 167
-22, 262, 414
-4, 24, 560
5, -158, 744
5, -158, 744
36, -205, 756
-,-,-
-216, -287, 739
-184, -284, 719
-184, -284, 719
-171, -352, 694
-243, -379, 623
-301, -275, 478
-290, -175, 235
-222, -120, -58
-162, -122, -129
-203, -257, -82
-317, -362, 123
-331, -455, 403
-427, -578, 824
-609, -648, 1271
-813, -697, 1725
-979, -798, 1998
-1148, -833, 1998
-1167, -691, 1998
-1104, -548, 1998
-969, -508, 1998
-901, -438, 1998
-934, -302, 1998
-937, -184, 1986
-937, -184, 1986
-850, -137, 1721
-647, -156, 1336
-463, -209, 761
-323, -42, 120
-156, 205, -349
37, 443, -646
141, 676, -743
83, 687, -386
10, 476, 135
10, 476, 135
0, 264, 556
46, 67, 703
46, 67, 703
85, -61, 770
-,-,-
-29, -335, 836
-95, -334, 866
-192, -266, 757
-157, -215, 839
-99, -335, 897
-99, -335, 897
-181, -413, 746
-240, -345, 597
-294, -262, 466
-280, -193, 305
-229, -103, 129
-175, -78, -20
-114, -99, -136
-78, -89, 35
-78, -89, 35
-191, -221, 425
-344, -368, 891
-505, -487, 1349
-696, -558, 1839
-833, -578, 1998
-960, -678, 1998
-1156, -816, 1998
-1238, -673, 1998
-1146, -505, 1998
-1126, -504, 1998
-1147, -559, 1998
-1153, -571, 1998
-1045, -359, 1841
-818, -177, 1298
-583, 89, 743
-339, 757, 367
-153, 937, -448
-388, 427, -518
-137, 672, -39
-137, 672, -39
-57, 1005, -281
-5, 576, -31
282, 409, 448
119, -95, 842
164, -395, 783
164, -395, 783
208, -431, 817
239, -415, 956
284, -334, 885
206, -206, 816
-89, 34, 757
-,-,-
60, -324, 829
42, -359, 833
-78, -319, 767
-114, -308, 601
-114, -308, 601
-89, -339, 617
-118, -369, 598
-141, -336, 546
-171, -248, 423
-205, -226, 398
-283, -199, 261
-297, -183, 57
-294, -140, -38
-316, -139, 153
-316, -139, 153
-376, -354, 529
-405, -526, 840
-549, -665, 1336
-737, -752, 1844
-767, -786, 1998
-898, -807, 1998
-938, -679, 1998
-929, -584, 1998
-946, -623, 1998
-1089, -769, 1998
-1164, -699, 1998
-1159, -403, 1998
-979, -159, 1676
-843, -30, 990
-712, 110, 188
-566, 486, -495
-246, 1554, -1230
-177, 1419, -1763
-151, 629, -173
72, 276, 80
72, 276, 80
220, 169, 166
138, -290, 445
-196, -339, 688
-,-,-
-117, -357, 726
-117, -357, 726
-170, -378, 586
-59, -381, 683
4, -392, 641
-51, -445, 821
-132, -434, 905
-144, -385, 900
-112, -385, 845
-44, -344, 579
-44, -344, 579
-50, -261, 420
-92, -225, 446
-134, -235, 449
-187, -294, 450
-257, -328, 340
-311, -285, 434
-334, -301, 652
-307, -329, 668
-307, -329, 668
-321, -390, 715
-353, -431, 858
-452, -537, 1088
-528, -655, 1284
-581, -743, 1403
-701, -803, 1571
-778, -860, 1776
-807, -910, 1858
-803, -866, 1809
-779, -678, 1767
-738, -518, 1624
-679, -404, 1476
-597, -318, 1317
-582, -266, 1278
-620, -180, 1361
-592, -128, 1248
-472, -56, 1040
-411, -55, 916
-351, -20, 741
-351, -20, 741
-237, 86, 580
-96, 120, 398
81, 89, 228
72, 103, 295
72, 103, 295
86, 170, 499
133, 0, 440
129, -126, 508
129, -126, 508
81, -173, 607
45, -165, 786
87, -179, 809
71, -330, 688
-1, -287, 686
-1, -287, 686
-71, -204, 892
